brand,processor_brand,processor,gen,ram,ssd,hdd,os,os_bit,gpu,warranty,Touchscreen,msoffice,rating,Price,Number of Ratings,Number of Reviews
1,1,0,7,4,0,512,2,0,0,3,0,0,3,21490,818,113
3,1,1,1,8,0,1024,2,0,0,3,0,0,3,41480,25,4
1,1,1,0,8,0,1024,2,1,0,3,0,0,2,32990,12,0
1,1,1,1,8,0,1024,2,1,0,0,0,0,3,38680,17,1
1,1,0,7,4,0,512,2,0,0,3,0,0,4,23990,974,170
3,1,1,0,8,0,1024,2,1,0,3,0,0,3,40390,83,15
1,1,1,0,4,0,1024,2,1,0,3,0,0,3,33990,31,6
1,1,0,7,4,0,512,2,0,0,3,0,0,3,20490,637,91
3,1,1,0,8,256,1024,2,1,0,0,0,1,5,41490,7,5
3,1,1,1,8,256,1024,2,1,0,3,0,0,4,45490,207,16
3,1,1,1,8,256,1024,2,1,0,3,0,0,4,44490,844,103
1,1,1,1,8,256,1024,2,1,0,0,0,1,4,41890,53,6
3,1,1,1,4,256,1024,2,1,0,0,0,1,4,42990,62,7
7,1,1,1,8,256,1024,2,1,0,3,0,0,4,40990,38,2
3,1,1,1,8,256,1024,2,1,0,0,0,0,4,48990,724,92
3,1,1,1,4,256,1024,2,1,0,0,0,1,3,43590,0,0
3,1,1,0,4,256,1024,2,1,0,0,0,0,4,44690,9,0
1,1,1,0,4,256,1024,2,1,0,3,0,0,3,40990,0,0
3,1,1,1,4,256,1024,2,1,0,0,0,1,3,43990,0,0
3,1,1,0,4,256,1024,2,1,0,0,0,1,4,41390,56,7
3,1,1,0,4,256,1024,2,1,0,0,0,1,3,44290,0,0
3,1,1,1,4,256,1024,2,1,0,0,0,0,3,48999,0,0
3,1,1,1,4,256,1024,2,1,0,0,0,1,3,39990,170,11
3,1,1,0,8,256,1024,2,1,0,3,0,0,2,46390,95,5
1,1,0,7,4,0,512,2,1,0,3,0,0,3,18990,197,25
1,1,0,7,4,0,512,2,0,0,3,0,0,3,17990,1180,148
4,1,0,7,4,0,512,2,1,0,3,0,0,3,26470,232,23
4,1,0,7,4,0,512,2,1,0,3,0,0,3,27990,596,65
5,1,0,7,4,0,1024,2,0,0,3,0,0,3,29999,19,1
5,1,0,7,4,0,512,2,1,0,3,0,0,3,25990,84,16
5,1,0,7,4,0,512,2,0,0,3,0,0,3,16990,414,54
5,1,0,7,4,0,512,2,0,0,3,0,0,2,24990,70,16
7,1,2,7,8,0,512,2,0,2,3,0,0,4,50990,10966,1185
7,1,2,7,8,0,512,2,0,0,0,0,0,4,119990,1,1
7,1,2,0,8,0,512,0,0,0,3,0,0,4,94190,31,6
1,1,2,0,8,0,512,0,0,2,3,0,0,4,106167,1881,241
3,1,2,0,8,0,512,0,0,2,0,0,0,1,68090,23,4
3,1,2,0,8,0,512,0,0,0,0,0,0,3,139990,0,0
4,1,2,0,8,0,512,0,0,0,3,0,0,4,55990,818,109
4,1,2,0,8,0,512,0,0,2,3,0,0,3,102551,0,0
5,1,2,0,8,0,512,0,0,1,3,0,0,4,46990,4428,569
4,1,2,5,8,128,0,2,1,0,0,0,0,4,76012,129,16
5,1,2,1,8,256,0,2,1,0,1,0,1,4,49490,365,35
7,1,2,4,8,256,0,2,1,0,0,0,1,4,86867,39,3
1,1,2,1,8,256,0,2,1,0,0,0,0,3,48990,0,0
3,1,2,1,8,256,0,2,1,0,3,0,0,3,55990,3,0
7,1,2,5,8,256,0,2,1,0,0,1,1,4,81998,14,3
4,1,2,5,8,256,0,2,1,0,0,1,1,3,136590,0,0
7,1,2,5,8,256,0,2,1,0,0,0,0,3,59490,33,7
1,1,2,1,8,256,0,2,1,0,0,0,0,3,49800,0,0
5,1,2,1,8,256,0,2,1,0,0,0,1,2,61999,4,0
4,1,2,1,8,512,0,2,1,0,3,0,0,4,54990,116,15
4,1,2,1,8,512,0,2,1,0,0,0,0,4,53990,206,17
5,1,2,1,8,512,0,2,1,0,1,0,1,4,52990,300,24
4,1,2,1,16,512,0,2,1,0,0,0,1,4,67990,108,6
1,1,2,0,8,512,0,2,1,2,0,0,0,4,57990,3712,412
5,1,2,1,16,512,0,2,1,0,0,0,1,4,62300,825,95
5,1,2,1,8,512,0,2,1,0,0,0,0,3,52990,0,0
5,1,2,1,8,512,0,2,1,0,1,0,1,4,51990,85,4
5,1,2,1,16,512,0,2,1,0,3,0,0,4,61990,56,7
1,1,2,1,8,512,0,2,0,0,0,1,1,4,63990,10,1
5,1,2,1,8,512,0,2,1,0,0,0,1,4,65990,17,4
7,1,2,1,8,512,0,2,1,0,0,0,0,4,52990,155,20
5,1,2,0,8,512,0,2,1,0,0,0,0,3,49990,0,0
1,1,2,1,8,512,0,2,1,2,3,0,0,4,71990,91,17
1,1,2,0,8,512,0,2,1,0,0,0,0,4,47990,35,2
5,1,2,0,8,512,0,2,0,0,1,0,1,4,48490,126,13
1,1,2,1,8,512,0,2,1,2,3,0,0,4,72990,74,10
6,1,2,1,16,512,0,2,1,2,1,0,0,4,76990,75,17
1,1,2,1,16,512,0,2,1,3,0,0,1,4,89990,124,17
6,1,2,0,8,512,0,2,1,2,1,0,0,4,59990,1597,228
1,1,2,0,8,512,0,2,1,2,0,0,1,4,65990,3850,378
3,1,2,1,8,512,0,2,1,0,3,1,0,4,71990,7,1
3,1,2,1,8,512,0,2,1,0,3,1,0,4,71890,3,0
5,1,2,1,16,512,0,2,1,0,3,0,0,3,64990,0,0
1,1,2,1,16,512,0,2,1,0,0,0,0,3,65990,0,0
4,1,2,1,8,512,0,2,1,0,3,0,0,4,55999,5,1
1,1,2,1,16,512,0,2,1,2,0,0,0,4,73490,213,45
4,1,2,1,16,512,0,2,1,0,0,0,1,4,74490,10,0
4,1,2,1,8,512,0,2,1,0,0,0,1,4,58340,69,6
7,1,2,1,8,512,0,2,1,0,0,0,0,4,55999,6,0
3,1,2,1,16,512,0,2,1,0,3,0,0,4,67990,93,9
1,1,2,1,16,512,0,2,1,0,0,0,0,4,59990,11,2
1,1,2,1,16,512,0,2,1,3,0,0,1,4,82990,262,31
3,1,2,1,8,512,0,2,1,1,0,0,1,3,64190,0,0
3,1,2,1,16,512,0,2,1,0,3,0,0,4,70090,5,1
1,1,2,0,8,512,0,2,1,1,0,0,0,4,49990,45,3
6,1,2,1,8,512,0,2,1,0,3,0,0,3,55490,8,1
4,1,2,1,8,512,0,2,1,0,3,1,0,5,97990,3,1
1,1,2,6,8,512,0,2,1,2,0,0,1,4,54990,1681,227
5,1,2,1,8,512,0,2,1,0,0,0,1,4,59990,37,2
5,1,2,1,8,512,0,2,1,0,0,0,1,4,53990,61,2
4,1,2,1,16,512,0,2,1,0,0,0,1,4,66999,17,1
7,1,2,1,8,512,0,2,1,0,0,0,1,4,60990,17,1
1,1,2,0,8,512,0,2,1,0,0,0,1,4,47990,1625,152
4,1,2,1,8,512,0,2,0,0,0,0,1,4,59999,4,1
3,1,2,0,16,512,0,2,1,2,0,0,0,3,79990,0,0
1,1,2,0,8,512,0,2,1,2,0,0,0,3,63990,0,0
4,1,2,1,8,512,0,2,1,0,0,0,1,4,63990,17,1
1,1,2,1,16,512,0,2,1,0,0,0,0,3,59990,0,0
5,1,2,1,8,512,0,2,1,0,0,0,0,3,55990,0,0
4,1,2,1,8,512,0,2,1,0,0,0,1,4,63990,3,0
3,1,2,1,16,512,0,2,1,1,0,0,1,3,69490,0,0
3,1,2,1,16,512,0,2,1,0,0,1,1,3,89390,0,0
1,1,2,1,8,512,0,2,1,0,3,0,0,3,74990,0,0
5,1,2,1,8,512,0,2,1,0,2,1,1,4,64990,48,12
5,1,2,0,8,512,0,2,1,2,0,0,1,4,66490,282,36
3,1,2,1,16,512,0,2,1,1,0,0,1,3,89702,0,0
5,1,2,1,16,512,0,2,1,1,0,0,1,4,70990,67,4
1,1,2,1,16,512,0,2,1,0,0,1,1,3,58990,0,0
5,1,2,0,8,512,0,2,1,1,0,0,1,3,57500,0,0
3,1,2,1,8,512,0,2,1,1,0,1,1,4,79990,23,2
6,1,2,0,8,512,0,2,1,0,3,0,0,4,56541,677,87
1,1,2,1,16,512,0,2,1,0,3,0,0,3,59990,3,0
5,1,2,1,16,512,0,2,1,0,0,0,1,4,64990,46,4
3,1,2,1,8,512,0,2,1,0,0,0,0,3,61290,4,1
5,1,2,1,8,512,0,2,1,0,0,0,1,4,54990,9,1
5,1,2,1,8,512,0,2,1,0,0,0,1,4,59990,26,4
1,1,2,1,8,512,0,2,0,3,0,0,0,5,84990,5,0
4,1,2,1,8,512,0,2,1,0,0,0,1,4,72500,40,3
5,1,2,1,8,512,0,2,1,2,3,0,0,3,59990,44,6
5,1,2,1,8,512,0,2,1,0,0,1,1,4,87990,28,6
4,1,2,1,8,512,0,2,1,0,3,0,0,4,57990,1541,123
3,1,2,1,8,512,0,2,1,0,0,0,1,4,69490,72,7
5,1,2,1,8,512,0,2,1,0,2,1,1,4,68990,44,8
5,1,2,1,8,512,0,2,0,0,0,0,1,4,77990,17,2
1,1,2,1,8,512,0,2,1,0,0,1,0,4,105990,59,11
6,1,2,1,8,512,0,2,1,0,0,0,0,3,79990,0,0
3,1,2,1,8,512,0,2,1,0,0,0,1,4,55490,337,27
5,1,2,1,8,512,0,2,1,0,0,0,1,4,69990,10,2
1,1,2,1,8,512,0,2,1,0,0,1,1,4,84990,10,2
3,1,2,1,8,512,0,2,1,0,3,0,0,3,59990,31,7
3,1,2,0,8,512,0,2,1,0,0,0,1,3,111890,0,0
3,1,2,1,8,512,0,2,1,1,0,0,0,4,65990,10,0
1,1,2,1,8,512,0,2,0,0,0,0,1,4,72990,76,14
3,1,2,1,8,512,0,2,1,0,0,0,1,4,71090,44,6
6,1,2,1,8,512,0,2,1,2,1,0,0,3,74990,0,0
1,1,2,0,8,512,0,2,1,0,0,0,1,4,79990,11,3
6,1,2,1,8,512,0,2,1,0,0,0,0,4,55490,138,16
3,1,2,1,8,512,0,2,1,1,0,0,1,4,66490,199,17
1,1,2,1,8,512,0,2,1,0,0,0,1,4,53400,46,6
3,1,2,1,8,512,0,2,1,0,0,1,1,4,74500,45,5
3,1,2,1,8,512,0,2,1,0,0,0,1,3,114990,0,0
3,1,2,1,8,512,0,2,1,1,3,0,0,4,61990,35,4
0,1,2,0,8,512,0,1,1,0,0,0,0,4,159990,32,5
0,1,2,5,8,512,0,1,1,0,0,0,0,4,172090,108,13
6,1,2,1,8,512,0,2,1,2,3,0,0,3,74990,0,0
6,1,2,0,8,512,0,2,1,0,0,0,0,4,56490,814,112
5,1,2,0,8,512,0,2,1,0,2,0,0,3,147000,0,0
5,1,2,1,8,512,0,2,1,0,0,0,1,4,55990,75,9
4,1,2,1,8,512,0,2,1,2,0,0,1,3,77990,0,0
4,1,2,0,8,512,0,2,1,2,0,0,1,4,106490,3,0
5,1,2,1,8,512,0,2,0,1,0,0,1,4,70990,11,3
5,1,2,1,8,512,0,2,1,0,0,0,1,4,64990,125,11
7,1,2,1,8,512,0,2,1,0,0,0,0,3,57990,0,0
1,1,2,0,8,512,0,2,1,2,0,0,0,4,64990,4,0
6,1,2,0,8,512,0,2,1,0,0,0,0,4,54990,714,147
4,1,2,1,8,512,0,2,1,0,3,1,0,3,111999,0,0
5,1,2,0,8,512,0,2,1,1,0,0,1,4,70798,21,3
5,1,2,6,8,512,0,2,1,2,3,0,0,3,59990,9,1
7,1,2,5,8,512,0,2,1,2,0,0,0,3,99500,0,0
4,1,2,0,8,512,0,2,1,0,0,0,1,4,55990,30,4
1,1,2,5,8,512,0,2,1,0,0,0,0,4,72990,44,4
7,1,2,5,8,512,0,2,1,0,0,0,0,3,64990,4,1
1,1,2,1,8,512,0,2,1,0,3,0,0,3,57990,0,0
4,1,2,1,8,512,0,2,1,1,0,1,1,4,76990,14,2
5,1,2,1,8,512,0,2,1,0,1,0,1,4,62998,739,71
3,1,2,1,8,512,0,2,1,0,0,1,1,4,77990,31,5
4,1,2,0,8,512,0,2,1,0,0,1,1,4,114990,145,19
3,1,2,0,8,512,0,2,1,1,0,0,1,3,65990,0,0
3,1,2,1,8,512,0,2,1,1,0,0,1,3,88990,19,2
5,1,2,0,8,512,0,2,1,0,3,0,0,3,113590,0,0
1,1,2,1,8,512,0,2,1,0,0,1,1,4,73990,32,6
4,1,2,1,8,512,0,2,1,0,0,0,1,4,61000,1124,100
1,1,2,1,8,512,0,2,1,0,0,1,0,4,99990,35,6
5,1,2,1,8,512,0,2,1,0,0,0,1,4,67990,9,0
3,1,2,1,8,512,0,2,1,0,0,1,1,4,70799,98,6
5,1,2,1,8,512,0,2,1,0,0,0,1,4,65990,31,2
1,1,2,5,8,512,0,2,1,0,0,0,0,4,53690,19,3
6,1,2,1,8,512,0,2,1,0,0,0,0,3,55990,0,0
1,1,2,1,8,512,0,2,1,0,0,0,1,4,53190,11,0
5,1,2,0,8,512,0,2,0,1,1,0,1,4,58999,45,3
3,1,2,1,8,512,0,2,1,1,2,0,0,3,71990,0,0
4,1,2,1,8,512,0,2,0,2,3,0,0,3,82000,0,0
1,1,2,1,8,512,0,2,1,0,3,0,0,3,84990,0,0
5,1,2,1,8,512,0,2,1,1,3,0,0,3,89998,0,0
1,1,2,1,8,512,0,2,1,0,0,1,0,3,99990,0,0
5,1,2,0,8,512,0,2,1,2,3,0,0,4,69899,474,37
3,1,2,0,8,512,0,2,1,2,0,0,0,3,79990,0,0
3,1,2,0,8,512,0,2,1,2,0,0,0,4,76300,6,0
5,1,2,0,8,512,0,2,1,0,0,0,1,3,55999,0,0
3,1,2,1,8,512,0,2,1,0,3,0,0,3,72900,24,4
3,1,2,1,8,512,0,2,1,0,0,1,1,4,73990,195,17
1,1,2,1,8,512,0,2,1,0,3,0,0,3,84990,0,0
3,1,2,1,8,512,0,2,0,1,3,0,0,3,73519,0,0
4,1,2,0,8,512,0,2,1,0,0,1,0,5,126000,2,1
1,1,2,1,8,512,0,2,1,3,0,0,0,3,88990,0,0
4,1,2,1,8,512,0,2,1,0,0,1,1,3,114999,0,0
3,1,2,1,8,512,0,2,1,1,0,1,1,4,82990,21,2
7,1,2,1,8,512,0,2,1,0,3,1,0,3,109999,0,0
5,1,2,1,8,512,0,2,1,0,0,1,1,3,82990,0,0
3,1,2,1,8,512,0,2,1,1,0,1,1,4,79990,5,0
1,1,2,1,8,512,0,2,1,0,0,1,0,3,114990,0,0
4,1,2,1,8,512,0,2,1,0,0,1,0,3,129999,0,0
6,1,2,5,8,512,0,2,0,3,3,0,0,4,149990,10,3
3,1,2,1,8,512,0,2,1,1,3,0,0,3,71290,0,0
3,1,2,0,8,512,0,2,1,0,0,0,1,4,79500,10,1
3,1,2,0,8,512,0,2,1,1,0,0,1,3,82990,15,3
3,1,2,1,8,512,0,2,1,1,0,0,1,4,70980,138,23
4,1,2,1,8,512,0,2,0,0,3,0,0,3,94000,0,0
3,1,2,1,8,512,0,2,1,1,3,1,0,4,82990,16,3
6,1,2,1,8,512,0,2,1,0,0,0,0,4,79990,11,4
1,1,2,5,8,512,0,2,1,0,3,0,0,3,85990,0,0
1,1,2,0,8,512,0,2,1,1,3,0,0,3,86990,0,0
1,1,2,0,8,512,0,2,1,1,0,0,1,5,105990,4,0
1,1,2,0,8,512,0,2,1,0,3,0,0,3,84990,0,0
5,1,2,5,8,512,0,2,1,1,0,0,1,4,59999,22,3
5,1,2,1,8,512,0,2,1,0,0,0,1,4,91999,16,2
3,1,2,1,8,512,0,2,1,0,0,1,1,3,78900,16,1
1,1,2,0,8,512,0,2,1,0,3,0,0,3,132790,0,0
5,1,2,1,8,512,0,2,1,2,3,0,0,3,60990,14,6
2,1,2,4,8,512,0,2,1,0,3,0,0,3,65556,0,0
3,1,2,1,16,512,0,2,1,0,3,0,0,3,70190,6,3
3,1,2,1,8,512,0,2,1,1,0,1,0,3,79590,0,0
1,1,2,1,8,512,0,2,1,2,0,0,0,3,76990,0,0
2,1,2,5,8,512,0,2,1,0,3,0,0,3,44990,17,3
1,1,2,1,8,512,0,2,1,0,0,1,1,3,84990,17,2
5,1,2,0,8,512,0,2,1,1,0,1,1,4,86999,3,0
4,1,2,1,16,512,0,2,1,1,0,0,0,4,78000,512,85
2,1,2,5,8,512,0,2,1,0,3,0,0,3,73063,17,3
4,1,2,1,16,512,0,2,1,2,0,0,1,3,100990,0,0
5,1,2,5,8,512,0,2,1,0,0,0,1,3,74990,3,1
